ProductID,ProductName,Description,Price,ReviewText,Is_Fake
101,boAt Nirvana Ion ANC Earbuds,"True wireless earbuds with active noise cancellation. Features IPX4 water resistance and long battery life, making them ideal for running and gym workouts.","₹2,299","Accidentally dropped them in water after a run, but they survived and still sound perfectly fine. ANC is decent for the price.",0
102,Puma Velocity Nitro Running Shoes (Size 7 UK),Lightweight athletic footwear designed for daily running and jogging. Features responsive foam cushioning and breathable mesh.,"₹4,500",AMAZING SHOES BEST SHOES EVER INVENTED I BOUGHT 10 PAIRS AND MY LIFE IS PERFECT NOW VERY GOOD QUALITY FAST SHIPPING!!!,1
103,Python for Data Science Handbook,"A comprehensive guide to learning Python programming, focusing on libraries like pandas, scikit-learn, and building machine learning models.","₹1,850",Really helpful for my first-year engineering projects. The section on data manipulation is clearly written.,0
104,Los Pollos Hermanos Apron,Yellow cooking apron featuring the logo from the famous Albuquerque fried chicken restaurant. Great novelty gift for TV show fans.,₹899,PRODUCT IS 100% LEGITIMATE BUY NOW DO NOT HESITATE EXCELLENT SELLER FIVE STARS FIVE STARS FAST DELIVERY,1
105,Hellfire Club Baseball Tee,3/4 sleeve raglan t-shirt featuring the Hawkins High School Dungeons & Dragons club logo. Comfortable cotton blend.,₹750,Fits true to size. The print quality is solid and hasn't faded after a few washes.,0
106,Vintage Shelby Company Flat Cap,Classic 1920s style tweed newsboy hat. Perfect for completing a retro Birmingham industrial look.,"₹1,200",BEST HAT VERY WOOL MUCH BIRMINGHAM BUY THIS NOW FOR MAXIMUM RESPECT IN THE STREETS VERY GOOD ITEM.,1
107,Desktop Coffee Mug Warmer,"Electric heating pad for your desk to keep coffee, tea, or hot cocoa warm all day. Auto shut-off safety feature included.",₹950,Keeps my drinks at the perfect temperature while I'm coding late into the night. Cord could be a bit longer though.,0
108,Winden Yellow Raincoat,Heavy-duty waterproof hooded jacket with a bright yellow finish. Excellent for severe weather and time travel.,"₹2,800",THIS RAINCOAT CURED MY COLD AND MADE ME INVINCIBLE TO WATER 10/10 WOULD BUY AGAIN HIGHLY RECOMMEND YES.,1
109,Mechanical Keyboard - Blue Switches,Tactile and clicky mechanical keyboard with customizable RGB backlighting. Built for heavy typing and programming tasks.,"₹3,499","The tactile feedback is excellent for long coding sessions, but the blue switches might be too loud if you share a room.",0
110,Noise-Isolating Studio Headphones,"Over-ear wired headphones offering flat frequency response. Ideal for critical listening, mixing, and producing music.","₹5,999",PERFECT SOUND I HEAR THINGS I NEVER HEARD BEFORE BUY THIS BRAND IT IS THE BEST BRAND NO OTHER BRAND COMPARES.,1
